Alcohol Notalcohol,Belted Unbelted,Bike Nonbike,Collision Type,CRASH_DT (copy),Crash Dt,Crash Event Type Dsc,Crash Military Tm,Crash Severity,Juris Name Used,Area Type Used,First Harmful Event of Entire Crash,Time Slicing Used,Phy_Juris_Nm,Offset-Ft,Intersection Analysis,Day Of Week,Deer Nodeer,TOTAL CRASH,Document Nbr,FAC,First Harmful Event,FUN,Gr Nogr,Hitrun Not Hitrun,Injury Crashes,Intersection Type,Int Doc,K_CRASH,K People,Lgtruck Nonlgtruck,Light Condition,MAINLINE (group),Mainline Yn,Motor Nonmotor,Node Info,Ownership,Total People Killed & Injured,Ped Nonped,Persons Injured,VSP_Used,Rd Type,Relation To Roadway,Rns Mp,Roadway Alignment,Roadway Description,Roadway Surface Cond,Rte Nm,School Zone,Senior Notsenior,Speed Notspeed,Time Slicing,Total Crashes including Property Damage Only,Traffic Control Type,District_Used ,Weather Condition,Work Zone Related,Young Notyoung
Not ALCIHOL,Not UNBELTED,BIKE,11. Other Animal,2/3/2011,2/3/2011,22. Bicycle,1800,C.Non-Visible Injury,Chesapeake,Urban,22. Bicycle,3PM TO 6PM,131.Chesapeake,697,Intersection,Thursday,DEER,1,110910257,"0.Two-way, non-divided",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,HIT_RUN,1,1. Not at Intersection,110910257,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,MAIN,Not MOTORCYCLE,483057.  US00017       US00017      13108529,SEC_URBAN,1,Not PED,1,5,NOT-RD,8. Non-Intersection,2.51,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA131UR08529SB,3. No,Not SENIOR,SPEED,3PM TO 6PM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,2/4/2011,2/4/2011,20. Motor Vehicle In Transport,110,B.Visiible Injury,Norfolk,Urban,20. Motor Vehicle In Transport,0AM TO 3AM,122.Norfolk,602,Intersection,Friday,Not DEER,1,111180193,"0.Two-way, non-divided",1. On Roadway,I.Urban Collector,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,111180193,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,MAIN,Not MOTORCYCLE,483545.  SR00247       SR00247      12208780,SEC_URBAN,1,Not PED,1,5,NOT-RD,10. Intersection Related - Within 150 Feet,0.11,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA122UR08780WB,3. No,Not SENIOR,Not SPEED,0AM TO 3AM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,2/9/2011,2/9/2011,20. Motor Vehicle In Transport,1656,C.Non-Visible Injury,Virginia Beach,Urban,20. Motor Vehicle In Transport,3PM TO 6PM,134.Virginia Beach,634,Intersection,Wednesday,Not DEER,1,111040254,"0.Two-way, non-divided",1. On Roadway,I.Urban Collector,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,111040254,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,541784. 13408708      13408740      13408740,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,0.46,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA134UR08740SB,3. No,Not SENIOR,Not SPEED,3PM TO 6PM,1,4. Stop Sign,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,2/20/2011,2/20/2011,22. Bicycle,2227,B.Visiible Injury,Norfolk,Urban,22. Bicycle,9PM TO 12AM,122.Norfolk,132,Intersection,Sunday,Not DEER,1,111090032,"1.Divided, no control of access",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,111090032,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,MAIN,Not MOTORCYCLE,485317. 12208575      12208575      12208576      12208576,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,1.11,1. Straight - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,R-VA122UR08575NB,3. No,Not SENIOR,Not SPEED,9PM TO 12AM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
ALCOHOL,Not UNBELTED,BIKE,2. Angle,2/23/2011,2/23/2011,22. Bicycle,2213,K.Fatal Injury,James City,Urban,22. Bicycle,9PM TO 12AM,47.James City,"1,162",Intersection,Wednesday,Not DEER,1,111050486,"2.Divided, partial control of access",1. On Roadway,B.Urban Freeways and Expressways; Connecting Links of Rural Principle Arterial,Not GUARDRAIL,Not HIT_RUN,0,1. Not at Intersection,111050486,1,1,Not LRTRUCK,5. Darkness - Road Not Lighted,MAINLINE,MAIN,Not MOTORCYCLE,398085.  4700616       SR00005       SR00199       SR00199,VDOT_PRI,1,Not PED,0,5,NOT-RD,8. Non-Intersection,7.77,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA   SR00199WB,3. No,Not SENIOR,Not SPEED,9PM TO 12AM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,2/24/2011,2/24/2011,22. Bicycle,745,C.Non-Visible Injury,Virginia Beach,Urban,22. Bicycle,6AM TO 9AM,134.Virginia Beach,"2,513",Intersection,Thursday,Not DEER,1,111100104,"1.Divided, no control of access",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,111100104,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,541365. 13400008      13400008      13408638      13408638,SEC_URBAN,1,Not PED,1,5,NOT-RD,"15. Other Crossing (Crossing for Bikes, School, etc.)",1.44,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA134UR08638WB,3. No,SENIOR,SPEED,6AM TO 9AM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,UNBELTED,BIKE,2. Angle,2/26/2011,2/26/2011,20. Motor Vehicle In Transport,1258,C.Non-Visible Injury,Portsmouth,Urban,20. Motor Vehicle In Transport,12PM TO 3PM,124.Portsmouth,,Not Intersection,Saturday,Not DEER,1,120555061,,7. In Parking Lane or Zone,,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,,0,0,Not LRTRUCK,2. Daylight,MAINLINE,,Not MOTORCYCLE,.,SEC_URBAN,1,Not PED,1,5,NOT-RD,"13. Driveway, Alley-Access - Related",,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,U-VA124SC99999UK,3. No,Not SENIOR,SPEED,12PM TO 3PM,1,1. No Traffic Control,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,3/1/2011,3/1/2011,20. Motor Vehicle In Transport,821,B.Visiible Injury,James City,Urban,20. Motor Vehicle In Transport,6AM TO 9AM,47.James City,0,Intersection,Tuesday,Not DEER,1,111120074,"0.Two-way, non-divided",1. On Roadway,J.Urban Local,Not GUARDRAIL,Not HIT_RUN,1,3. Three Approaches,111120074,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,398436.  4701425       FR00663,VDOT_SEC,2,Not PED,2,5,NOT-RD,10. Intersection Related - Within 150 Feet,0.00,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA047SC01425SB,3. No,Not SENIOR,Not SPEED,6AM TO 9AM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,1. Rear End,3/2/2011,3/2/2011,22. Bicycle,1940,C.Non-Visible Injury,Virginia Beach,Urban,22. Bicycle,6PM TO 9PM,134.Virginia Beach,449,Intersection,Wednesday,Not DEER,1,111100542,"1.Divided, no control of access",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,111100542,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,MAIN,Not MOTORCYCLE,541168.  SR00190       SR00190      13408661      13408661,PRI_URBAN,1,Not PED,1,5,NOT-RD,8. Non-Intersection,8.41,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA   SR00190WB,3. No,Not SENIOR,Not SPEED,6PM TO 9PM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,3/2/2011,3/2/2011,20. Motor Vehicle In Transport,1745,B.Visiible Injury,Norfolk,Urban,20. Motor Vehicle In Transport,3PM TO 6PM,122.Norfolk,"1,885",Intersection,Wednesday,Not DEER,1,111100547,"0.Two-way, non-divided",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,111100547,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,483432.  SR00168       SR00168       SR00168S026B,PRI_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,27.98,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA   SR00168SB,3. No,SENIOR,Not SPEED,3PM TO 6PM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,3/3/2011,3/3/2011,20. Motor Vehicle In Transport,1525,B.Visiible Injury,Virginia Beach,Urban,20. Motor Vehicle In Transport,3PM TO 6PM,134.Virginia Beach,,Not Intersection,Thursday,Not DEER,1,111120208,,1. On Roadway,,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,,0,0,Not LRTRUCK,2. Daylight,MAINLINE,,Not MOTORCYCLE,.,SEC_URBAN,1,Not PED,1,5,NOT-RD,8. Non-Intersection,,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,U-VA134SC99999UK,3. No,Not SENIOR,Not SPEED,3PM TO 6PM,1,1. No Traffic Control,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,3/4/2011,3/4/2011,22. Bicycle,1835,A.Ambulatory Injury,Newport News,Urban,22. Bicycle,6PM TO 9PM,121.Newport News,,Not Intersection,Friday,Not DEER,1,111650055,,1. On Roadway,,Not GUARDRAIL,HIT_RUN,1,4. Four Approaches,,0,0,Not LRTRUCK,3. Dusk,MAINLINE,,Not MOTORCYCLE,.,SEC_URBAN,1,Not PED,1,5,NOT-RD,10. Intersection Related - Within 150 Feet,,1. Straight - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,U-VA121SC99999UK,3. No,Not SENIOR,SPEED,6PM TO 9PM,1,1. No Traffic Control,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,4. Sideswipe - Same Direction,3/5/2011,3/5/2011,22. Bicycle,2241,C.Non-Visible Injury,James City,Urban,22. Bicycle,9PM TO 12AM,47.James City,444,Intersection,Saturday,Not DEER,1,111120286,"0.Two-way, non-divided",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,111120286,0,0,Not LRTRUCK,5. Darkness - Road Not Lighted,MAINLINE,MAIN,Not MOTORCYCLE,398797.  IS00064E247A  SR00143       SR00143,VDOT_PRI,1,Not PED,1,5,NOT-RD,8. Non-Intersection,27.37,7. Dip - Straight,"1. Two-Way, Not Divided",1. Dry,R-VA   SR00143NB,3. No,Not SENIOR,Not SPEED,9PM TO 12AM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,3/13/2011,3/13/2011,22. Bicycle,1409,A.Ambulatory Injury,Greensville,Urban,22. Bicycle,12PM TO 3PM,40.Greensville,"1,531",Intersection,Sunday,Not DEER,1,111150211,"0.Two-way, non-divided",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,111150211,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,363204.  4000690       US00301       US00301,VDOT_PRI,1,Not PED,1,5,RD-UNKNOWN,8. Non-Intersection,8.20,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA   US00301SB,3. No,Not SENIOR,Not SPEED,12PM TO 3PM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,3/14/2011,3/14/2011,22. Bicycle,1907,C.Non-Visible Injury,Williamsburg,Urban,22. Bicycle,6PM TO 9PM,137.Williamsburg,"2,281",Intersection,Monday,Not DEER,1,111120750,"0.Two-way, non-divided",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,3. Three Approaches,111120750,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,398745.  SR00005       SR00005      13707075,PRI_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,51.78,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA   SR00005EB,3. No,SENIOR,Not SPEED,6PM TO 9PM,1,1. No Traffic Control,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,3/17/2011,3/17/2011,22. Bicycle,600,A.Ambulatory Injury,Portsmouth,Urban,22. Bicycle,3AM TO 6AM,124.Portsmouth,37,Intersection,Thursday,Not DEER,1,120585233,"0.Two-way, non-divided",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,HIT_RUN,1,4. Four Approaches,120585233,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,MAIN,Not MOTORCYCLE,483294.  SR00141       SR00141      12408539      12408539,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,1.11,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA124UR08539WB,3. No,Not SENIOR,Not SPEED,3AM TO 6AM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,3/19/2011,3/19/2011,22. Bicycle,1757,A.Ambulatory Injury,Chesapeake,Urban,22. Bicycle,3PM TO 6PM,131.Chesapeake,227,Intersection,Saturday,Not DEER,1,111290231,"1.Divided, no control of access",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,1. Not at Intersection,111290231,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,483345.  SR00165       SR00165      13108799,PRI_URBAN,1,Not PED,1,5,NOT-RD,8. Non-Intersection,4.94,1. Straight - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,R-VA   SR00165NB,3. No,Not SENIOR,SPEED,3PM TO 6PM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,YOUNG
ALCOHOL,Not UNBELTED,BIKE,3. Head On,3/20/2011,3/20/2011,22. Bicycle,310,A.Ambulatory Injury,Virginia Beach,Urban,22. Bicycle,3AM TO 6AM,134.Virginia Beach,"2,524",Intersection,Sunday,Not DEER,1,111290252,"0.Two-way, non-divided",1. On Roadway,I.Urban Collector,Not GUARDRAIL,HIT_RUN,1,1. Not at Intersection,111290252,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,MAIN,Not MOTORCYCLE,541493. 13408669      13408669      13408724      13408724,SEC_URBAN,1,Not PED,1,5,RD-UNKNOWN,8. Non-Intersection,0.92,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA134UR08724WB,3. No,Not SENIOR,Not SPEED,3AM TO 6AM,1,6. Traffic Lanes Marked,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,4. Sideswipe - Same Direction,3/21/2011,3/21/2011,20. Motor Vehicle In Transport,1030,A.Ambulatory Injury,Hampton,Urban,20. Motor Vehicle In Transport,9AM TO 12PM,114.Hampton,79,Intersection,Monday,Not DEER,1,111080019,"0.Two-way, non-divided",4. Roadside,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,111080019,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,253031.  SR00134       SR00134       SR00351       SR00351,PRI_URBAN,3,Not PED,3,5,NOT-RD,10. Intersection Related - Within 150 Feet,5.44,1. Straight - Level,"1. Two-Way, Not Divided",2. Wet,R-VA   SR00351EB,3. No,Not SENIOR,Not SPEED,9AM TO 12PM,1,3. Traffic Signal,5.Hampton Roads,9. Other,2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,3/24/2011,3/24/2011,22. Bicycle,1739,A.Ambulatory Injury,Virginia Beach,Urban,22. Bicycle,3PM TO 6PM,134.Virginia Beach,111,Intersection,Thursday,Not DEER,1,111300000,"1.Divided, no control of access",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,111300000,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,541277. 13400012      13400012      13408688      13408779,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,3.97,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA134UR00012WB,3. No,Not SENIOR,Not SPEED,3PM TO 6PM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
